Gas,vol,N°,tem
Fw9,0593,9.34,278.22
Ww5,0390,8.22,95.02
Ob7,0587,3.05,94.95
Fq6,0043,3.05,138.60
Gt1,0121,7.89,280.17
Mr5,0881,1.54,313.42
Lg1,0698,9.23,368.85
Ba2,0924,6.63,193.19
Gn3,0554,5.55,201.00
Bz1,0044,6.29,51.21
Vq9,0736,2.53,28.55
Wf8,0781,9.84,62.00
Ar1,0158,2.21,210.91
Cv8,0427,2.14,120.89
Ir7,0780,3.49,130.53
Or8,0168,2.13,28.91
Gy4,0535,8.67,360.27
Ck8,0232,6.54,108.23
Ll7,0321,4.14,44.99
Vi6,0332,7.95,10.88
Np3,0091,6.91,317.41
Eo5,0634,5.68,248.59
Uq7,0217,7.85,236.78
Ot6,0181,1.14,15.73
Ym3,0957,6.34,107.12
Gw9,0183,6.63,284.14
Xw1,0530,2.38,267.56
Ac1,0634,5.95,162.98
Fw7,0979,5.16,171.83
Cr6,0903,0.12,210.10
Je9,0697,5.06,148.32
Ys8,0598,1.70,194.87
Qh8,0676,2.49,21.74
Ef1,0545,8.11,316.75
Qh9,0782,6.71,82.80
Rq2,0047,7.49,372.62
Hm8,0870,7.08,228.11
Xg5,0195,0.55,165.74
Rg3,0296,8.64,78.33
Tn4,0391,8.92,332.34
Pe4,0209,2.29,102.06
Ho2,0723,1.63,169.71
Dz1,0865,2.06,320.17
Qt9,0176,1.95,350.09
Lw9,0825,1.51,369.28
Jz3,0138,1.46,256.98
Vm5,0861,1.24,181.98
Te1,0980,7.61,194.89
Lu2,0840,5.93,328.30
Cf6,0661,1.90,141.85
Ig8,0734,5.01,224.66
Dg4,0929,9.14,130.97
Uu9,0563,4.97,119.00
Ps1,0621,8.71,91.77
Jy3,0659,1.32,114.41
Mo7,0330,0.80,298.57
Nn1,0420,7.28,192.95
Iy7,0014,5.83,254.73
Ji8,0634,7.23,317.15
Ob6,0136,0.93,278.03
Hd6,0704,3.06,173.79
Tp6,0929,6.92,29.85
Ew1,0495,3.76,297.84
Np3,0897,4.04,218.80
Om9,0638,6.92,342.32
Kh7,0386,1.66,261.66
Ml7,0290,7.61,309.82
Qn8,0427,6.66,116.87
Vd6,0556,2.47,38.12
Gz5,0707,4.31,101.35
Cl2,0116,3.18,154.61
Pb1,0023,5.70,113.31
Sf1,0554,9.26,351.83
He4,0664,4.08,137.23
Tn6,0883,7.02,261.62
At4,0526,0.61,302.05
Nm8,0320,1.30,311.90
Ue2,0603,0.22,112.51
Ex2,0781,9.44,31.95
Rt2,0082,3.57,290.75
Ve7,0496,8.17,76.49
Ik6,0937,8.00,175.38
Ex1,0162,3.85,95.64
Rt1,0575,4.67,243.63
Ul7,0712,6.48,326.34
Xr5,0558,7.90,189.25
Nr5,0825,1.24,86.57
Cx7,0098,2.82,44.08
Ie5,0731,9.48,276.82
Hy1,0810,7.83,52.49
Rz8,0185,9.75,207.75
Wz2,0973,6.83,240.88
Ye9,0364,1.96,98.66
Yy1,0516,2.25,212.10
Xz7,0050,0.55,324.47
Om6,0428,2.24,148.61
Nu8,0478,8.30,102.55
Ef1,0325,7.18,110.58
Rq9,0782,0.36,220.96
Ec3,0636,9.03,313.88
